episode: 243 , total_reward_episode: 1 , reward: -0.286885
episode: 244 , total_reward_episode: 1 , reward: -0.281633
episode: 245 , total_reward_episode: 1 , reward: -0.276423
episode: 246 , total_reward_episode: -1 , reward: -0.279352
episode: 247 , total_reward_episode: 1 , reward: -0.274194
episode: 248 , total_reward_episode: -1 , reward: -0.277108
episode: 249 , total_reward_episode: -1 , reward: -0.28
episode: 250 , total_reward_episode: 1 , reward: -0.2749
episode: 251 , total_reward_episode: 1 , reward: -0.269841
episode: 252 , total_reward_episode: 1 , reward: -0.264822
episode: 253 , total_reward_episode: 1 , reward: -0.259843
episode: 254 , total_reward_episode: -1 , reward: -0.262745
episode: 255 , total_reward_episode: -1 , reward: -0.265625
episode: 256 , total_reward_episode: 1 , reward: -0.2607
episode: 257 , total_reward_episode: -1 , reward: -0.263566
episode: 258 , total_reward_episode: 1 , reward: -0.258687
episode: 259 , total_reward_episode: 1 , reward: -0.253846
episode: 260 , total_reward_episode: -1 , reward: -0.256705
episode: 261 , total_reward_episode: 1 , reward: -0.251908
episode: 262 , total_reward_episode: -1 , reward: -0.254753
episode: 263 , total_reward_episode: 1 , reward: -0.25
episode: 264 , total_reward_episode: 1 , reward: -0.245283
episode: 265 , total_reward_episode: 1 , reward: -0.240602
episode: 266 , total_reward_episode: 1 , reward: -0.235955
episode: 267 , total_reward_episode: -1 , reward: -0.238806
episode: 268 , total_reward_episode: 1 , reward: -0.234201
episode: 269 , total_reward_episode: -1 , reward: -0.237037
episode: 270 , total_reward_episode: -1 , reward: -0.239852
episode: 271 , total_reward_episode: 1 , reward: -0.235294
episode: 272 , total_reward_episode: 1 , reward: -0.230769
episode: 273 , total_reward_episode: -1 , reward: -0.233577
episode: 274 , total_reward_episode: 1 , reward: -0.229091
episode: 275 , total_reward_episode: -1 , reward: -0.231884
episode: 276 , total_reward_episode: -1 , reward: -0.234657
episode: 277 , total_reward_episode: -1 , reward: -0.23741
episode: 278 , total_reward_episode: 1 , reward: -0.232975
episode: 279 , total_reward_episode: 1 , reward: -0.228571
episode: 280 , total_reward_episode: 1 , reward: -0.224199
episode: 281 , total_reward_episode: -1 , reward: -0.22695
episode: 282 , total_reward_episode: 1 , reward: -0.222615
episode: 283 , total_reward_episode: 1 , reward: -0.21831
episode: 284 , total_reward_episode: 1 , reward: -0.214035
episode: 285 , total_reward_episode: -1 , reward: -0.216783
episode: 286 , total_reward_episode: -1 , reward: -0.219512
episode: 287 , total_reward_episode: 1 , reward: -0.215278
episode: 288 , total_reward_episode: 1 , reward: -0.211073
episode: 289 , total_reward_episode: 1 , reward: -0.206897
episode: 290 , total_reward_episode: -1 , reward: -0.209622
episode: 291 , total_reward_episode: 1 , reward: -0.205479
episode: 292 , total_reward_episode: 1 , reward: -0.201365
episode: 293 , total_reward_episode: 1 , reward: -0.197279
episode: 294 , total_reward_episode: 1 , reward: -0.19322
episode: 295 , total_reward_episode: -1 , reward: -0.195946
episode: 296 , total_reward_episode: -1 , reward: -0.198653
episode: 297 , total_reward_episode: -1 , reward: -0.201342
episode: 298 , total_reward_episode: -1 , reward: -0.204013
episode: 299 , total_reward_episode: 1 , reward: -0.2
episode: 300 , total_reward_episode: -1 , reward: -0.202658
episode: 301 , total_reward_episode: 1 , reward: -0.198675
episode: 302 , total_reward_episode: -1 , reward: -0.20132
episode: 303 , total_reward_episode: -1 , reward: -0.203947
episode: 304 , total_reward_episode: -1 , reward: -0.206557
episode: 305 , total_reward_episode: -1 , reward: -0.20915
episode: 306 , total_reward_episode: 1 , reward: -0.205212
episode: 307 , total_reward_episode: -1 , reward: -0.207792
episode: 308 , total_reward_episode: 1 , reward: -0.203883
episode: 309 , total_reward_episode: -1 , reward: -0.206452
episode: 310 , total_reward_episode: 1 , reward: -0.202572
episode: 311 , total_reward_episode: 1 , reward: -0.198718
episode: 312 , total_reward_episode: 1 , reward: -0.194888
episode: 313 , total_reward_episode: 1 , reward: -0.191083
episode: 314 , total_reward_episode: 1 , reward: -0.187302
episode: 315 , total_reward_episode: -1 , reward: -0.189873
episode: 316 , total_reward_episode: -1 , reward: -0.192429
episode: 317 , total_reward_episode: 1 , reward: -0.188679
episode: 318 , total_reward_episode: 1 , reward: -0.184953
episode: 319 , total_reward_episode: 1 , reward: -0.18125
episode: 320 , total_reward_episode: 1 , reward: -0.17757
episode: 321 , total_reward_episode: 1 , reward: -0.173913
episode: 322 , total_reward_episode: -1 , reward: -0.176471
episode: 323 , total_reward_episode: -1 , reward: -0.179012
episode: 324 , total_reward_episode: -1 , reward: -0.181538
episode: 325 , total_reward_episode: -1 , reward: -0.184049
episode: 326 , total_reward_episode: -1 , reward: -0.186544
episode: 327 , total_reward_episode: -1 , reward: -0.189024
episode: 328 , total_reward_episode: 1 , reward: -0.18541
episode: 329 , total_reward_episode: 1 , reward: -0.181818
episode: 330 , total_reward_episode: 1 , reward: -0.178248
episode: 331 , total_reward_episode: 1 , reward: -0.174699
episode: 332 , total_reward_episode: 1 , reward: -0.171171
episode: 333 , total_reward_episode: -1 , reward: -0.173653
episode: 334 , total_reward_episode: -1 , reward: -0.176119
episode: 335 , total_reward_episode: 1 , reward: -0.172619
episode: 336 , total_reward_episode: -1 , reward: -0.175074
episode: 337 , total_reward_episode: 1 , reward: -0.171598
episode: 338 , total_reward_episode: 1 , reward: -0.168142
episode: 339 , total_reward_episode: 1 , reward: -0.164706
episode: 340 , total_reward_episode: 1 , reward: -0.16129
episode: 341 , total_reward_episode: 1 , reward: -0.157895
episode: 342 , total_reward_episode: -1 , reward: -0.16035
episode: 343 , total_reward_episode: 1 , reward: -0.156977
episode: 344 , total_reward_episode: 1 , reward: -0.153623
episode: 345 , total_reward_episode: 1 , reward: -0.150289
episode: 346 , total_reward_episode: -1 , reward: -0.152738
episode: 347 , total_reward_episode: 1 , reward: -0.149425
episode: 348 , total_reward_episode: -1 , reward: -0.151862
